Date,Phase,Exercise,Reps,S1 load,S2 load,S3 load,S4 load,Total Load,Notes
01-08-25,P1,A1 Bench Press,12,16,18,18,18,840,
01-08-25,P1,A2 Squat,12,60,60,60,60,2880,
01-08-25,P1,A3 Barbell Row,12,12,16,16,16,720,
01-08-25,P1,A4 Plank,1,30,30,0,0,60,
01-08-25,P1,B1 Deadlift,,,,,,,
01-08-25,P1,B1 Deadlift,,,,,,,
13-08-25,P1,A1 Bench Press,12,18,18,18,18,864,
13-08-25,P1,A2 Squat,12,40,50,50,50,2280,Ex barbell
13-08-25,P1,A3 Barbell Row,12,18,18,18,18,864,
13-08-25,P1,A4 Plank,1,30,30,30,30,120,
25-08-25,P1,B1 Deadlift,12,60,60,60,60,2880,Ex barbell
25-08-25,P1,B2 Overhead Press,12,20,24,24,24,1104,Dumbbells 
25-08-25,P1,B3 Lat Pulldown,12,55,55,55,55,2640,
25-08-25,P1,B4 Side Plank,1,30,30,0,0,60,
30-08-25,P1,A1 Bench Press,12,18,18,18,18,864,Each dumbbell
30-08-25,P1,A2 Squat,12,40,50,55,55,2400,Ex barbell
30-08-25,P1,A3 Barbell Row,12,18,18,18,20,888,
30-08-25,P1,A4 Plank,1,30,30,30,30,120,
01-09-25,P1,B1 Deadlift,12,70,70,70,70,3360,
01-09-25,P1,B2 Overhead Press,12,24,24,24,20,1104,Dumbbells
01-09-25,P1,B3 Lat Pulldown,12,55,55,55,55,2640,
01-09-25,P1,B4 Side Plank,1,30,30,15,15,90,
03-09-25,P1,A1 Bench Press,12,18,18,18,18,864,Dumbbells 
03-09-25,P1,A2 Squat,12,40,50,60,60,2520,
03-09-25,P1,A3 Barbell Row,12,20,20,20,20,960,
03-09-25,P1,A4 Plank,1,30,30,30,30,120,
08/09/25,P1,B1 Deadlift,12,70,70,70,70,3360,
08/09/25,P1,B2 Overhead Press,12,20,20,20,20,960,
08/09/25,P1,B3 Lat Pulldown,12,55,55,55,55,2640,
08/09/25,P1,B4 Side Plank,1,30,30,15,15,90,
10/09/25,P1,A1 Bench Press,12,18,18,18,18,864,
10/09/25,P1,A2 Squat,12,60,60,60,60,2880,
10/09/25,P1,A3 Barbell Row,12,20,20,20,20,960,
10/09/25,P1,A4 Plank,1,30,30,30,30,120,
12/09/25,P1,B1 Deadlift,12,70,70,70,70,3360,
12/09/25,P1,B2 Overhead Press,12,20,20,20,20,960,
12/09/25,P1,B3 Lat Pulldown,12,55,55,55,55,2640,
12/09/25,P1,B4 Side Plank,1,30,30,30,0,90,
12/09/25,P1,A1 Bench Press,12,18,18,18,18,864,
12/09/25,P1,A2 Squat,12,60,60,60,65,2940,
12/09/25,P1,A3 Barbell Row,12,20,20,20,20,960,
12/09/25,P1,A4 Plank,1,30,30,30,30,120,
22/09/25,P1,B1 Deadlift,12,60,60,60,60,2880,Barbell
,,B2 Overhead Press,12,20,20,20,20,,
,,B3 Lat Pulldown,12,55,55,55,55,,
07/10/25,,A1 Bench Press,12,18,18,18,18,,
,,A2 Squat,12,40,60,60,60,,
,,A3 Barbell Row,12,20,20,20,20,,
,,A4 Plank,1,30,30,30,30,,
20/10/25,,B1 Deadlift,12,60,60,60,60,,
,,B2 Overhead Press,12,20,20,20,20,,
,,B3 Lat Pulldown,12,55,55,55,,"Had to end, tired",
,,,,,,,,,
,,A1 Bench Press,12,18,18,18,18,,
,,A2 Squat,12,60,60,60,60,,
,,A3 Barbell Row,12,20,20,20,22,,
,,A4 Plank,1,30,30,30,30,,
27/10/25,,B1 Deadlift,12,60,60,60,60,,
,,B2 Overhead Press,12,20,20,20,20,,
,,B3 Lat Pulldown,12,55,55,55,55,,
,,B4 Side Plank,12,30,30,30,30,,
04/11/25,,A1 Bench Press,12,30,35,40,40,,
,,A2 Squat,12,40,60,65,70,,
,,A3 Barbell Row,12,20,20,20,20,,
,,A4 Plank,1,30,30,,,,
,,B1 Deadlift,12,60,60,60,60,,
,,B2 Overhead Press,12,20,20,20,20,,
,,B3 Lat Pulldown,12,55,55,55,,,
,,B4 Side Plank,1,30,30,30,30,,
,,A1 Bench Press,12,18,18,18,18,,
,,A2 Squat,12,50,60,70,70,,
,,A3 Barbell Row,12,20,20,20,20,,
,,A4 Plank,1,30,30,30,45,,
02/12/25,,B1 Deadlift,12,50,60,60,60,,
,,B2 Overhead Press,12,20,20,20,20,,
,,B3 Lat Pulldown,12,55,55,55,55,,
,,B4 Side Plank,1,,,,,,
16/12/25,,A1 Bench Press,12,20,20,18,18,,
,,A2 Squat,12,60,70,80,80,,
,,A3 Barbell Row,12,20,20,20,20,,
,,A4 Plank,1,30,,,,,
23/12/25,,Row,1,5000,,,,Tid: 21.42,
04/01/26,,Row,1,5000,,,,21:26,
,,B1 Deadlift,12,40,60,60,70,,
,,B2 Overhead Press,12,20,20,20,16,,
,,B3 Lat Pulldown,12,55,55,55,55,,
,,B4 Side Plank,12,30,30,30,30,,
26.01.26,,A1 Bench Press,12,40,40,40,40,With barbell (first day at Fresh),
,,A2 Squat,12,40,60,60,70,,
,,A3 Barbell Row,12,20,20,20,20,,
,,A4 Plank,1,30,30,30,30,,
28/01/26,,B1 Deadlift,12,60,70,70,70,,
,,B2 Overhead Press,12,20,20,20,20,,
,,B3 Lat Pulldown,12,59,50,50,,Rotating bar is tricky…will switch to hang up's ,
,,B4 Side Plank,1,,,,,,
,,A1 Bench Press,12,40,40,50,40,,
,,A2 Squat,12,60,70,70,70,,
,,A3 Barbell Row,12,20,20,20,20,,
,,A4 Plank,1,30,30,30,30,,
6/2/26,,B1 Deadlift,12,60,70,70,70,,
,,B2 Overhead Press,12,20,20,20,20,,
,,B3 Lat Pulldown,1,6,6,6,0,Litt forsiktig - lenge siden og har ikke skins,
,,B4 Side Plank,1,30,30,30,30,,
9/2/26,,A1 Bench Press,12,40,40,50,40,,
,,A2 Squat,12,60,70,70,70,,
,,A3 Barbell Row,12,22.5,22.5,22.5,22.5,,
,,A4 Plank,1,30,30,30,30,,
11/2/26,,B1 Deadlift,8,70,80,80,80,,
,,B2 Overhead Press,8,20,25,25,25,,
,,B3 Lat Pulldown,1,6,6,6,0,Må ha skins,
,,B4 Side Plank,1,30,30,30,30,,
12/2/26,,A1 Bench Press,8,50,50,50,50,,
,,A2 Squat,8,60,80,80,80,,
,,A3 Barbell Row,8,25,25,25,25,,
,,A4 Plank,1,30,30,30,30,,
14/2/26,,B1 Deadlift,8,70,80,80,80,,
,,B2 Overhead Press,8,20,25,27.5,27.5,,
,,B3 Lat Pulldown,1,6,6,6,3,,
,,B4 Side Plank,1,30,30,30,30,,
24/2/26,,A1 Bench Press,8,40,50,55,55,,
,,A2 Squat,8,60,70,80,80,,
,,A3 Barbell Row,8,25,25,25,25,,
,,A4 Plank,1,,,,,,
27/2/26,,B1 Deadlift,8,70,80,80,80,,
,,B2 Overhead Press,8,20,25,30,30,,
,,B3 Lat Pulldown,1,10,8,6,6,,
,,B4 Side Plank,1,,,,,,
28/2/26,,A1 Bench Press,8,50,50,55,55,,
,,A2 Squat,8,60,70,70,80,,
,,A3 Barbell Row,8,25,25,25,25,,
,,A4 Plank,1,,,,,,